FID,SHAPE,NAME,ADRESSE,BETREUUNG,ART,ART_TXT,SKZ,TELEFON,WEBLINK1,SE_SDO_ROWID,SE_ANNO_CAD_DATA
SCHULEOGD.631589,POINT (16.411561087166614 48.275603704737144),MS Reisgasse 1,"21., Reisgasse 1",,2,Mittelschule (öffentlich),921082,01 4000 563 220,http://www.reisgasse.at/,631589,
SCHULEOGD.631590,POINT (16.40239111007616 48.25957378738792),Sekundarschule Al Azhar International Schools,"21., Weisselgasse 28",,11,Sonstige (öffentlich),921086x,01 60 77 059,,631590,
SCHULEOGD.631591,POINT (16.451570887930263 48.273323691121476),VS Herzmanovsky-Orlando-Gasse 11,"21., Herzmanovsky-Orlando-Gasse 11",,1,Volksschule (öffentlich),921091,01 4000 563 370,http://herzmanovsky-orlando.schule.wien.at/,631591,
SCHULEOGD.631592,POINT (16.388691220266946 48.290313649021954),VS Irenäusgasse 2,"21., Irenäusgasse 2",Ganztagsschule in verschränkter Abfolge,1,Volksschule (öffentlich),921101,01 292 35 70,http://gtvs-irenaeusgasse.schule.wien.at/,631592,
SCHULEOGD.631593,POINT (16.388411230163754 48.29703361695389),PMS Anton-Böck-Gasse 20,"21., Anton-Böck-Gasse 20",,2,Mittelschule (privat),921102,01 291 25 681,http://www.delasalle.at,631593,
SCHULEOGD.631594,POINT (16.402501109397907 48.25953378732974),pORg 21 Nordbahnanlage 4,"21., Nordbahnanlage 4",,6,Allgemeinbildende höhere Schule (privat),921106,,,631594,
SCHULEOGD.631595,POINT (16.40220113989689 48.27993369048573),VS Jochbergengasse 1,"21., Jochbergengasse 1",,1,Volksschule (öffentlich),921111,01 292 25 61,http://www.vs-jochbergengasse.at/,631595,
SCHULEOGD.631596,POINT (16.38149126044255 48.294633632695465),PMS Mayerweckstraße 1,"21., Mayerweckstraße 1",,2,Mittelschule (privat),921112,01 291 08/204,http://pro.kphvie.ac.at,631596,
SCHULEOGD.631597,POINT (16.33221135742004 48.19042416071185),Bundesgymnasium für Berufstätige,"21., Brünner Straße 72",,6,Allgemeinbildende höhere Schule (öffentlich),921116,01 892 54 33,http://wien.abendgymnasium.at,631597,
SCHULEOGD.631598,POINT (16.44856091490737 48.28215365092786),VS Lavantgasse 35,"21., Lavantgasse 35",,1,Volksschule (öffentlich),921121,01 292 71 40,http://lavantgasse.at,631598,
SCHULEOGD.631599,POINT (16.389081197093457 48.275573719604616),Privates Realgymnasium Avicenna (Ibn Sina),"21., Prager Straße 124",,6,Allgemeinbildende höhere Schule (privat),921126,01 270 00 44-11,http://www.avicenna-gymnasium.at/,631599,
SCHULEOGD.631600,POINT (16.410341067275684 48.25650379721837),VS Mengergasse 33,"21., Mengergasse 33",,1,Volksschule (öffentlich),921131,01 270 11 68-111,http://www.vsmg33.at,631600,
SCHULEOGD.631601,POINT (16.4012711436964 48.28012369027131),MS Jochbergengasse 1,"21., Jochbergengasse 1",,2,Mittelschule (öffentlich),921132,01 292 35 75,http://www.jochbergengasse.at/,631601,
SCHULEOGD.631602,POINT (16.4447509191904 48.27143370428319),VS Pastorstraße 29,"21., Pastorstraße 29",,1,Volksschule (öffentlich),921141,01 259 61 03,http://pastorstrasse.schule.wien.at/,631602,
SCHULEOGD.631603,POINT (16.453710872798563 48.26906371005423),MS Adolf-Loos-Gasse 2,"21., Adolf-Loos-Gasse 2",,2,Mittelschule (öffentlich),921142,01 259 64 11,http://www.kmsadolfloosgasse.at,631603,
SCHULEOGD.631604,POINT (16.401401104948764 48.252343822536545),VS Prießnitzgasse 1/I,"21., Prießnitzgasse 1/I",,1,Volksschule (öffentlich),921161,01 4000 563 430,http://vs-priessnitzgasse.schule.wien.at/,631604,
SCHULEOGD.631605,POINT (16.38845119007582 48.268183754679484),VS Schillgasse 31,"21., Schillgasse 31",,1,Volksschule (öffentlich),921181,01 4000 563 440,http://schillgasse.schule.wien.at/,631605,
