FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
,,POINT (16.484952217579096 48.30423581137134),,,"512, 513",,,,
,,POINT (16.451418262336535 48.295415485620985),,,510,,,,
,,POINT (16.468189681625795 48.296084766121716),,,"510, 512, 513",,,,
,,POINT (16.471369762484514 48.29441137148597),,,"25B, 511, 512, 513",,,,
,,POINT (16.47145057388748 48.29970624607999),,,"512, 513",,,,
,,POINT (16.47859212532503 48.293574668775015),,,"25B, 511",,,,
,,POINT (16.468405277648767 48.294686272777014),,,"25B, 511, 512, 513",,,,
,,POINT (16.458478927411033 48.295020980739324),,,"510, 511",,,,
,,POINT (16.46152421159458 48.294865578604224),,,"510, 511",,,,
,,POINT (16.45836223047048 48.29667047365499),,,"511, 512, 513",,,,
,,POINT (16.241240060463593 48.09840223092745),,,"256, 261, 262",,,,
,,POINT (16.227289231004207 48.09948813899121),,,"256, 261, 262",,,,
,,POINT (16.232427600789197 48.0974003440778),,,"256, 261, 262",,,,
,,POINT (16.24655803290106 48.09786832804372),,,"258, 261, 262",,,,
,,POINT (16.234870989513475 48.09748434117926),,,"256, 261, 262",,,,
,,POINT (16.24843552354545 48.0975263277698),,,"258, 261, 262",,,,
,,POINT (16.23722458394559 48.10020802552557),,,"256, 258",,,,
,,POINT (16.237242579382507 48.097892336937434),,,"256, 261, 262",,,,
,,POINT (16.11659101875145 48.39349524413227),,,"841, 842",,,,
,,POINT (16.378591752419364 48.08065888134976),,,"215, 216, 217, S60",,,,
,,POINT (16.3943390793906 48.08289735496329),,,"215, 216, 217",,,,
,,POINT (16.385904015044513 48.08023267588115),,,"215, 216, 217",,,,
,,POINT (16.381403437623995 48.0805027792448),,,"215, 216, 217",,,,
,,POINT (16.405864432182124 48.08665992568381),,,"215, 216, 217",,,,
,,POINT (16.538015415589978 48.28509315128295),,,"520, 522",,,,
,,POINT (16.46733628077685 48.294034877348935),,,"510, 511",,,,
,,POINT (16.117093317901805 48.030618576455964),,,306,,,,
,,POINT (16.112601746001584 48.03377826526974),,,306,,,,
,,POINT (16.160885992192178 48.02494726060109),,,306,,,,
,,POINT (16.188383727584306 48.23945810918027),,,"450, 458",,,,
,,POINT (16.188338823011136 48.23745381841842),,,"450, 458",,,,
,,POINT (16.13478149292 48.240636856024736),,,"447, 451, 458",,,,
,,POINT (16.237225114383975 48.342392169646445),,,403,,,,
,,POINT (16.25126500809224 48.00502696666956),,,308,,,,
,,POINT (16.23082013563276 48.33790789725002),,,403,,,,
,,POINT (16.233443227507998 48.34021278374937),,,403,,,,
,,POINT (16.22742454514415 48.334695216308845),,,403,,,,
,,POINT (16.21783511240663 48.39326250479551),,,1,,,,
,,POINT (16.64734006609041 48.37118123625319),,,531,,,,
,,POINT (16.633452142259827 48.3745706332623),,,"520, 530, 531",,,,
,,POINT (16.629760050335648 48.37016075781489),,,"520, 530, 531",,,,
,,POINT (16.640423003359185 48.372774535231684),,,"520, 530, 531",,,,
,,POINT (16.209399959687314 48.39767638903642),,,1,,,,
,,POINT (16.24186865014791 48.00369868236147),,,"108, 301, 302, 303, 306, 308, 310, 315, 320, A, B, C, SV510",,,,
,,POINT (16.254624709878392 48.01315222422266),,,"301, 302, 303",,,,
,,POINT (16.250806804689862 48.00234627952462),,,308,,,,
,,POINT (16.231636901575808 48.004005190804435),,,"301, 315",,,,
,,POINT (16.25101341724786 48.008464750069514),,,308,,,,
,,POINT (16.22183635314827 48.00593449089594),,,"303, 306, 308",,,,
,,POINT (16.230469101091753 48.00129440457154),,,"301, 303, 315",,,,
,,POINT (16.21644648013349 48.00609679513682),,,"303, 306, 308",,,,
,,POINT (16.250465526978704 48.012286832388185),,,"301, 302, 303, 308, C",,,,
,,POINT (16.231794302007213 48.0078156355488),,,B,,,,
,,POINT (16.19733039365396 48.01561606900031),,,"306, 308",,,,
,,POINT (16.230028915723114 48.00686607837424),,,"303, 306, 308",,,,
,,POINT (16.233424496489704 48.005814280043936),,,"108, 301, 302, 303, 306, 308, 310, 315, 320, A, B, SEV 108",,,,
,,POINT (16.25185779548886 48.000675286572644),,,308,,,,
,,POINT (16.226211034900697 48.007004281619395),,,"303, 306, 308",,,,
,,POINT (16.20912522268497 48.009396286559195),,,"303, 306, 308",,,,
,,POINT (16.20431924895279 48.01085658454),,,"303, 306, 308",,,,
,,POINT (16.231421316294544 48.01014146132276),,,303,,,,
,,POINT (16.219294066754312 48.0064693908136),,,"108, 303, 306, 308",,,,
,,POINT (16.24095705154725 48.00383084892477),,,SEV ,,,,
,,POINT (16.23755677250516 48.00408328478236),,,"301, 302, 303, 306, 308, 310, 315, 320, A, B, C",,,,
,,POINT (16.213428096882893 48.007022394424936),,,"303, 306, 308",,,,
,,POINT (16.244940852154336 48.01116304338641),,,"301, 302, 303, 308, 310, 315, 320",,,,
