FID,SHAPE,NAME,ADRESSE,SE_SDO_ROWID,SE_ANNO_CAD_DATA,WEBLINK1
POLIZEIOGD.3935159,POINT (16.369421889303094 48.23397213633772),"Stadtpolizeikommando Wien-2,20","20., Pappenheimgasse 33",3935159,,https://www.polizei.gv.at/
POLIZEIOGD.3935163,POINT (16.3977729366618 48.26026269319628),Stadtpolizeikommando Wien-21,"21., Hermann-Bahr-Straße 3",3935163,,https://www.polizei.gv.at/
POLIZEIOGD.3935170,POINT (16.43599854721688 48.243601049341564),Stadtpolizeikommando Wien-22,"22., Wagramer Straße 89",3935170,,https://www.polizei.gv.at/
POLIZEIOGD.3935178,POINT (16.281239733294623 48.13538944234388),Stadtpolizeikommando Wien-23,"23., Lehmanngasse 3a",3935178,,https://www.polizei.gv.at/
POLIZEIOGD.3934305,POINT (16.36822286214064 48.21724233720686),Stadtpolizeikommando Wien-1,"01., Deutschmeisterplatz 3",3934305,,https://www.polizei.gv.at/
POLIZEIOGD.3934319,POINT (16.393663588577827 48.19656619967786),Stadtpolizeikommando Wien-3,"03., Juchgasse 19",3934319,,https://www.polizei.gv.at/
POLIZEIOGD.3935103,POINT (16.357710762101828 48.188138782459255),"Stadtpolizeikommando Wien-4,5,6","05., Viktor-Christ-Gasse 19",3935103,,https://www.polizei.gv.at/
POLIZEIOGD.3935117,POINT (16.36984636031175 48.179027688489285),Stadtpolizeikommando Wien-10,"10., Van-der-Nüll-Gasse 11",3935117,,https://www.polizei.gv.at/
POLIZEIOGD.3935111,POINT (16.347952841138948 48.21045847219255),"Stadtpolizeikommando Wien-7,8,9","08., Fuhrmannsgasse 5",3935111,,https://www.polizei.gv.at/
POLIZEIOGD.3935125,POINT (16.413162293851972 48.17536705894316),Stadtpolizeikommando Wien-11,"11., Enkplatz 3",3935125,,https://www.polizei.gv.at/
POLIZEIOGD.3935130,POINT (16.324524295296122 48.17425554919533),"Stadtpolizeikommando Wien-12,13","12., Hohenbergstraße 1",3935130,,https://www.polizei.gv.at/
POLIZEIOGD.3935138,POINT (16.332336459487447 48.19750034329375),"Stadtpolizeikommando Wien-14,15","15., Tannengasse 8-10",3935138,,https://www.polizei.gv.at/
POLIZEIOGD.3935145,POINT (16.318594999499 48.21379243437395),"Stadtpolizeikommando Wien-16,17","16., Wattgasse 15",3935145,,https://www.polizei.gv.at/
